"player_id","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","total_points","in_dreamteam","gameweek"
"591","45","0","0","0","0","0","0","0","1","0","0","0","0","3.0","13.2","0.0","1.6","1","0.00","0.04","0.04","2.13","0","FALSE",1
"592","10","0","0","0","0","0","0","0","0","0","0","0","4","5.4","0.3","0.0","0.6","0","0.00","0.00","0.00","0.21","1","FALSE",1
"593","86","0","0","0","1","0","0","0","0","0","0","0","1","2.8","24.8","2.0","3.0","1","0.00","0.08","0.08","2.01","2","FALSE",1
"594","60","0","0","0","2","0","0","0","0","0","0","0","8","8.6","0.8","21.0","3.0","1","0.03","0.00","0.03","0.96","2","FALSE",1
"595","90","0","0","0","1","0","0","0","0","0","0","0","11","15.6","15.8","2.0","3.3","1","0.00","0.05","0.05","1.07","2","FALSE",1
"596","90","0","0","0","3","0","0","0","0","0","5","0","22","42.2","0.0","0.0","4.2","1","0.00","0.00","0.00","2.21","2","FALSE",1
"597","90","0","0","1","0","0","0","0","0","0","6","1","32","48.2","0.0","0.0","4.8","1","0.00","0.00","0.00","2.27","9","FALSE",1
"598","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"599","86","1","0","0","4","0","0","0","0","0","0","0","26","42.6","23.1","40.0","10.6","1","0.36","0.11","0.47","2.80","7","FALSE",1
"600","1","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.12","1","FALSE",1
"601","18","0","0","0","1","0","0","0","0","0","0","0","2","3.4","10.5","4.0","1.8","0","0.00","0.01","0.01","1.18","1","FALSE",1
"602","63","0","0","0","1","0","0","0","1","0","0","0","9","1.6","15.4","5.0","2.2","1","0.02","0.26","0.28","1.55","1","FALSE",1
"603","22","1","1","0","0","0","0","0","0","0","0","2","36","52.8","21.3","21.0","9.5","0","0.62","0.54","1.16","0.40","11","TRUE",1
"604","71","0","0","0","2","0","0","0","1","0","0","0","9","10.4","0.3","2.0","1.3","1","0.02","0.00","0.02","0.38","0","FALSE",1
"605","60","0","0","0","2","0","0","0","0","0","0","0","4","0.2","21.7","6.0","2.8","1","0.06","0.03","0.09","0.96","2","FALSE",1
"606","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"607","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"608","29","0","0","0","1","0","0","0","0","0","0","0","0","0.0","0.6","9.0","0.7","0","0.02","0.01","0.03","1.25","1","FALSE",1
"609","9","0","0","0","0","0","0","0","0","0","0","0","4","2.2","0.6","2.0","0.5","0","0.00","0.01","0.01","0.04","1","FALSE",1
"610","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"611","90","1","0","0","1","0","0","0","0","0","0","3","27","47.0","1.8","37.0","8.6","1","0.47","0.01","0.48","1.28","11","TRUE",1
"613","1","0","0","0","0","0","0","0","0","0","0","0","4","6.0","0.1","0.0","0.6","0","0.00","0.00","0.00","0.02","1","FALSE",1
"614","90","0","0","0","4","0","0","0","0","0","8","1","26","60.0","0.0","0.0","6.0","1","0.00","0.00","0.00","4.10","3","FALSE",1
"615","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"616","11","0","0","0","0","0","0","0","0","0","0","0","7","5.4","1.5","2.0","0.9","0","0.00","0.00","0.00","0.07","1","FALSE",1
"617","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"618","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"619","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"620","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"621","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"622","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"623","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"624","7","0","0","0","0","0","0","0","0","0","0","0","3","1.0","0.3","2.0","0.3","0","0.00","0.00","0.00","0.16","1","FALSE",1
"625","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"626","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"627","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"628","13","0","0","0","0","0","0","0","0","0","0","0","3","0.2","0.8","0.0","0.1","0","0.00","0.00","0.00","0.14","1","FALSE",1
"629","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
